Sr. No.,District,Taluka,Village Name
1,Ahmednagar,Ahmednagar,Sonewadi Chaas
2,Ahmednagar,Ahmednagar,Sarola Kasar
3,Ahmednagar,Ahmednagar,Dongargan
4,Ahmednagar,Ahmednagar,Ranjani
5,Ahmednagar,Karjat,Pategaon
6,Ahmednagar,Karjat,Kumbhephal
7,Ahmednagar,Karjat,Babhulgaon Khalsa
8,Ahmednagar,Karjat,Patharwadi
9,Ahmednagar,Parner,Wadner Haveli
10,Ahmednagar,Parner,Dongarwadi
11,Ahmednagar,Parner,Kalamkarwadi
12,Ahmednagar,Parner,Pimpri Jalsen
13,Ahmednagar,Pathardi,Kasalwadi
14,Ahmednagar,Pathardi,Ambika Nagar
15,Ahmednagar,Pathardi,Sakegaon
16,Ahmednagar,Pathardi,Kherde
17,Ahmednagar,Sangamner,Kumbharwadi
18,Ahmednagar,Sangamner,Modhalwadi
19,Ahmednagar,Sangamner,Kanasewadi
20,Ahmednagar,Sangamner,Khandarmalwadi
21,Akola,Akot,Rudhali Pr Khatkali
22,Akola,Akot,Boris
23,Akola,Akot,Rambhapur
24,Akola,Barshitakli,Dhaba
25,Akola,Barshitakli,Rahit
26,Akola,Barshitakli,Bhendi Mahal
27,Akola,Barshitakli,Gorwha
28,Akola,Barshitakli,Lohagad
29,Akola,Patur,Raher
30,Akola,Patur,Tulanga Kh
31,Akola,Patur,Tandali Bu
32,Akola,Patur,Jambharun
33,Akola,Patur,Savargaon
34,Akola,Telhara,Manabda
35,Akola,Telhara,Kotha
36,Akola,Telhara,Zari Bazar
37,Akola,Telhara,Adgaon Bu
38,Amravati,Chikhaldara,Motha
39,Amravati,Chikhaldara,Barugavhan
40,Amravati,Chikhaldara,Bamadehi
41,Amravati,Chikhaldara,Kulangana Bu
42,Amravati,Chikhaldara,Avagad
43,Amravati,Dharni,Gondwadi
44,Amravati,Dharni,Bhulori
45,Amravati,Dharni,Bothara
46,Amravati,Morshi,Ghodgavhan
47,Amravati,Morshi,Shirajgaon
48,Amravati,Morshi,Bhivkundi
49,Amravati,Morshi,Wagholi
50,Amravati,Nandgaon Kh,Sukali Gurav
51,Amravati,Nandgaon Kh,Nimaswada
52,Amravati,Nandgaon Kh,Mokhad
53,Amravati,Nandgaon Kh,Pusner
54,Amravati,Warud,Udapur
55,Amravati,Warud,Gavhankund-Shekdari
56,Amravati,Warud,Pimpalkhuta Bu
57,Amravati,Warud,Manikpur
58,Amravati,Warud,Jamthi
59,Aurangabad,Khultabad,Bhadji
60,Aurangabad,Khultabad,Mamurabad
61,Aurangabad,Khultabad,Devlana Kh
62,Aurangabad,Khultabad,Khandi Pimpalgaon
63,Aurangabad,Phulambri,Vavna
64,Aurangabad,Phulambri,Mamnabad
65,Aurangabad,Phulambri,Ranjangaon
66,Aurangabad,Phulambri,Shahapur
67,Aurangabad,Phulambri,Wanegaon Kh-Wanegaon Bu
68,Aurangabad,Vaijapur,Mandki
69,Aurangabad,Vaijapur,Loni Bu
70,Aurangabad,Vaijapur,Waghla
71,Aurangabad,Vaijapur,Pendefal
72,Aurangabad,Vaijapur,Nalegaon
73,Beed,Ambajogai,Chandanwadi
74,Beed,Ambajogai,Hatola
75,Beed,Ambajogai,Salunkwadi
76,Beed,Ashti,Kanadi Budruk
77,Beed,Ashti,Sheri Bu
78,Beed,Ashti,Pangulgavhan
79,Beed,Ashti,Lokhandwadi
80,Beed,Ashti,Saratewadgaon
81,Beed,Beed,Devaryachiwadi
82,Beed,Beed,Kalsambar
83,Beed,Beed,Bakarwadi
84,Beed,Beed,Mandavkhel
85,Beed,Beed,Aurangpur
86,Beed,Beed,Ghat Savli
87,Beed,Dharur,Sonimoha
88,Beed,Dharur,Mothewadi
89,Beed,Dharur,Vharkatwadi
90,Beed,Dharur,Deothana
91,Beed,Kaij,Namewadi
92,Beed,Kaij,Pathra
93,Beed,Kaij,Nagzari La
94,Beed,Kaij,Deogaon
95,Beed,Kaij,Paithan
96,Beed,Kaij,Avasgaon
97,Beed,Parli,Indiranagar
98,Beed,Parli,Limbuta
99,Beed,Parli,Vantakli
100,Beed,Parli,Kauthali
